track_id,time_step,x,y,type,determinant,trace
35,1,78.00000000000001,58.99999999999996,2,0.002467882934842127,-0.12532971799373627
35,2,77.99999999999994,59.00000000000011,2,0.002468548588210772,-0.12535704672336578
35,3,78.00000000000001,58.99999999999996,2,0.0024693522840123507,-0.12538326904177666
36,1,78.99999999999997,59.00000000000001,1,0.00990620457526781,0.09056714177131653
36,2,79.00000000000003,58.99999999999999,1,0.009910703649255831,0.09056630730628967
36,3,79.00000000000003,58.99999999999999,1,0.00991464836097045,0.09057243168354034
37,1,79.99999999999999,59.00000000000005,2,0.006598662859361501,-0.1985751986503601
37,2,80.00000000000001,58.99999999999995,2,0.006600982313514691,-0.19859962165355682
37,3,79.99999999999999,59.00000000000006,2,0.006604458800066886,-0.19861826300621033
38,1,72.00000000000001,60.00000000000001,2,0.0030903002058505495,-0.01002289354801178
38,2,71.99999999999996,59.999999999999986,2,0.0030904318862431954,-0.010028637945652008
38,3,72.00000000000004,60.000000000000014,2,0.003088799103184381,-0.01003190129995346
39,1,72.99999999999999,59.99999999999999,0,-0.0016899502299124727,-0.04729648306965828
39,2,73.00000000000003,60.000000000000014,0,-0.0016899170920354053,-0.0473003014922142
39,3,73.00000000000001,60.00000000000001,0,-0.001690098939796491,-0.04730983451008797
40,1,74.0,60.00000000000001,0,-0.0019589421084731384,-0.05312062054872513
40,2,74.0,60.00000000000001,0,-0.0019584501475681387,-0.0531136579811573
40,3,74.0,60.0,0,-0.0019577048365340827,-0.053104501217603683
41,1,75.0,60.0,0,-0.0016754046661351385,-0.05614718794822693
41,2,75.0,59.99999999999999,0,-0.0016746930409870513,-0.05613796040415764
41,3,75.0,59.99999999999999,0,-0.0016734711218088234,-0.056122075766325
42,1,75.99999999999999,60.000000000000014,2,0.0012615870476799806,-0.08425754308700562
42,2,76.00000000000009,59.999999999999915,2,0.0012623968399552157,-0.08427194505929947
42,3,75.99999999999991,60.00000000000008,2,0.0012647183020305648,-0.0842834934592247
43,1,76.99999999999994,60.00000000000002,1,0.0014540660165837088,0.012488603591918945
43,2,77.00000000000001,59.99999999999999,1,0.001454228638115839,0.012493982911109924
43,3,77.00000000000001,59.99999999999999,1,0.0014549868521589466,0.012500684708356857
44,1,84.48875982691953,141.08775278691667,1,0.015319449119594463,0.007844020612537861
44,2,84.61862429181765,141.39627238662845,1,0.015884391598916338,0.007945340126752853
44,3,84.72834990978737,141.69457605864707,1,0.01600814768570926,0.007757660001516342
45,1,90.45811797610567,141.3655888920303,0,-0.00034958635542426997,0.0031853546388447285
45,2,90.710528216493,141.60566620681482,0,-0.00038259159422251375,0.003923354670405388
