from_step,from_point,to_step,to_point,transport_mass,distance
1,51,2,51,0.013888888888888888,0.09311167008811305
1,52,2,52,0.013888888888888888,0.14544012978570603
1,53,2,53,0.013888888888888888,0.11142541879858056
1,54,2,54,0.013888888888888888,0.11324090999851165
1,55,2,55,0.013888888888888888,0.2593861733731771
1,56,2,56,0.013888888888888888,0.11114273737984488
1,57,2,57,0.013888888888888888,0.004165728012852559
1,58,2,58,0.013888888888888888,0.18977304515905394
1,59,2,59,0.013888888888888888,0.15565603819736235
1,62,2,62,0.013888888888888888,0.25973323771597456
1,65,2,63,0.013888888888888888,0.27452216763764364
1,66,2,64,0.013888888888888888,0.14728461534306012
1,67,2,65,0.013888888888888888,0.1499367691484256
1,68,2,66,0.013888888888888888,0.024577671149807502
1,69,2,67,0.013888888888888888,0.2275915306659974
1,71,2,69,0.013888888888888888,0.17547832164154484
1,49,2,49,0.011111111111110919,0.34496067867926167
2,0,3,0,0.014285714285714285,0.0
2,1,3,1,0.014285714285714285,0.0
2,2,3,2,0.014285714285714285,0.0
2,3,3,3,0.014285714285714285,0.0
2,4,3,4,0.014285714285714285,0.0
2,5,3,5,0.014285714285714285,0.0
2,6,3,6,0.014285714285714285,0.0
2,7,3,8,0.014285714285714285,0.0
2,8,3,9,0.014285714285714285,0.0
2,9,3,10,0.014285714285714285,0.0
2,10,3,11,0.014285714285714285,0.0
2,12,3,12,0.014285714285714285,0.0
2,13,3,13,0.014285714285714285,0.0
2,14,3,14,0.014285714285714285,0.0
2,15,3,15,0.014285714285714285,0.0
2,16,3,16,0.014285714285714285,0.0
2,17,3,17,0.014285714285714285,0.0
2,19,3,18,0.014285714285714285,0.0
2,20,3,19,0.014285714285714285,0.0
2,21,3,20,0.014285714285714285,0.0
2,22,3,21,0.014285714285714285,0.0
2,23,3,22,0.014285714285714285,0.0
2,24,3,23,0.014285714285714285,0.0
2,25,3,24,0.014285714285714285,0.0
2,26,3,25,0.014285714285714285,0.0
2,27,3,26,0.014285714285714285,0.0
2,28,3,27,0.014285714285714285,0.0
2,29,3,28,0.014285714285714285,0.0
2,30,3,29,0.014285714285714285,0.0
2,31,3,30,0.014285714285714285,0.0
2,32,3,31,0.014285714285714285,0.0
2,33,3,32,0.014285714285714285,0.0
2,34,3,33,0.014285714285714285,0.0
2,35,3,34,0.014285714285714285,0.0
2,36,3,35,0.014285714285714285,0.0
2,37,3,36,0.014285714285714285,0.0
2,38,3,37,0.014285714285714285,0.0
2,39,3,38,0.014285714285714285,0.0
2,40,3,39,0.014285714285714285,0.0
2,41,3,40,0.014285714285714285,0.0
2,42,3,41,0.014285714285714285,0.0
2,43,3,42,0.014285714285714285,0.0
2,44,3,43,0.014285714285714285,0.0
2,45,3,44,0.014285714285714285,0.0
2,46,3,45,0.014285714285714285,0.3178439742594341
2,47,3,46,0.014285714285714285,0.3439131248984297
2,50,3,49,0.014285714285714285,0.16955630660278617
2,51,3,50,0.014285714285714285,0.09167328348656466
2,52,3,51,0.014285714285714285,0.14468429370640162
2,53,3,52,0.014285714285714285,0.1115858461472103
2,54,3,54,0.014285714285714285,0.107858425088794
2,55,3,53,0.014285714285714285,0.24266693311198087
2,56,3,55,0.014285714285714285,0.09002324347604751
