track_id,time_step,x,y,type
38,0,72.0,60.0,focus
38,1,72.0,60.0,focus
38,2,72.0,60.0,focus
39,0,73.0,60.0,saddle
39,1,73.0,60.0,saddle
39,2,73.0,60.0,saddle
40,0,74.0,60.0,saddle
40,1,74.0,60.0,saddle
40,2,74.0,60.0,saddle
41,0,75.0,60.0,saddle
41,1,75.0,60.0,saddle
41,2,75.0,60.0,saddle
42,0,76.0,60.0,node
42,1,76.0,60.0,node
42,2,76.0,60.0,node
43,0,77.0,60.0,focus
43,1,77.0,60.0,focus
43,2,77.0,60.0,focus
44,0,84.4887598,141.0877528,focus
45,0,90.458118,141.3655889,saddle
46,0,60.6476072,167.9667412,focus
47,0,53.7095042,171.3756583,saddle
48,0,93.0839209,171.8855404,saddle
48,1,93.4882004,173.4896656,saddle
48,2,93.9034443,175.4900843,saddle
49,0,109.5896638,174.6104158,focus
49,1,109.7269826,175.6001265,focus
49,2,109.8964176,176.6637304,focus
50,0,86.0234586,177.3670813,focus
50,1,85.5688228,179.0624625,focus
51,0,97.3981933,177.6551247,focus
51,1,97.3681543,178.6102541,focus
51,2,97.0220001,179.4686984,focus
52,0,115.7238741,183.8914822,saddle
52,1,116.6576434,184.7243972,saddle
52,2,117.7477437,185.1867627,saddle
53,0,92.5280085,184.1526466,saddle
53,1,92.8359104,186.3087496,saddle
53,2,92.6522759,187.9752466,saddle
54,0,36.4323092,189.8452334,focus
54,1,36.4347639,190.6874503,focus
54,2,36.6543082,190.3306355,focus
55,0,36.1193556,196.3658342,saddle
55,1,36.1491395,196.710086,saddle
55,2,36.2371372,197.4639281,saddle
56,0,59.2885453,196.2608297,saddle
57,0,52.3364046,199.2182236,focus
57,1,53.6157653,200.522888,focus
58,0,87.6220412,209.0853684,focus
59,0,93.2796278,210.1334612,saddle
60,0,44.1261893,211.8444749,saddle
61,0,96.8089825,212.3902265,focus
62,0,97.2117006,212.9214871,saddle
63,0,43.1488582,213.3577679,focus
64,0,37.7476708,242.2488838,focus
64,1,37.081271,243.4353831,focus
64,2,36.4559374,244.5460445,focus
65,0,99.0700176,262.6256423,focus
65,1,98.9347257,264.2431584,focus
65,2,98.8251414,266.0672054,focus
66,0,124.0397674,279.473683,saddle
66,1,123.6859813,279.3736175,saddle
66,2,123.1262502,278.7546259,saddle
67,0,136.6248976,295.6357865,focus
68,0,18.3997217,320.045667,saddle
69,0,85.0903395,331.2314462,focus
69,1,86.0214307,332.7138929,focus
69,2,86.9693803,334.1628801,focus
