x,y,z,type
42.568527625188054,8.413908444769293,0.0,trisector
42.32215459299511,8.556812077154476,0.0,wedge
58.358216940602446,8.822449742246302,0.0,wedge
65.2016732675551,8.53199613573851,0.0,wedge
72.58303932464315,8.669693324497443,0.0,trisector
25.0,9.0,0.0,wedge
30.033185869298755,9.475881482108136,0.0,trisector
43.62878972745996,9.126030185669563,0.0,wedge
58.23169126636061,9.510828400557113,0.0,trisector
73.31872561185125,9.140480323740892,0.0,wedge
74.52335805648856,9.552325197468475,0.0,trisector
77.09737265329368,9.384261766965905,0.0,wedge
78.0,9.0,0.0,trisector
24.0,10.0,0.0,trisector
24.0,10.0,0.0,wedge
25.0,11.0,0.0,wedge
30.238521084562755,10.66377235266631,0.0,wedge
38.63647232387344,10.581968624985574,0.0,wedge
46.34282348987859,10.28582323695283,0.0,trisector
65.62144259335957,10.13827213127383,0.0,trisector
77.96824132779571,10.258296095528657,0.0,trisector
78.018222645224,10.27129364350611,0.0,wedge
23.0,11.0,0.0,wedge
26.667496252829686,11.38916304565949,0.0,trisector
29.43176303028681,11.790898065962772,0.0,trisector
43.94057732795775,11.296479978106635,0.0,trisector
49.95690732415099,11.239674808236678,0.0,trisector
49.43654091099752,11.869549405855935,0.0,wedge
58.10904260167348,11.011657758951412,0.0,wedge
70.67073745042585,11.749337581060013,0.0,trisector
29.83126325375213,12.9086191953282,0.0,wedge
35.17381484957089,12.683530224188512,0.0,wedge
37.56119697718652,12.317307344675346,0.0,trisector
55.834975590055144,12.963875352123107,0.0,trisector
58.02519377725746,12.042291206887677,0.0,trisector
70.77495985995796,12.120160463014479,0.0,wedge
82.68496618106427,12.80469133995705,0.0,wedge
83.74617297838691,12.746172978386912,0.0,trisector
37.31307145351442,13.6485048453672,0.0,wedge
47.88779724667075,13.71385965616902,0.0,trisector
55.82389739867302,13.018434505426837,0.0,wedge
82.96572550811965,13.115666534794602,0.0,trisector
83.064438752282,13.209923984964249,0.0,wedge
85.0,13.0,0.0,wedge
21.0,14.0,0.0,trisector
