track_id,time_step,point_id,x,y,z
25,3,206,74.5,56.5,0.0
26,1,120,77.5,51.5,0.0
26,2,119,77.5,51.5,0.0
26,3,118,77.5,51.5,0.0
27,1,2,74.5,44.0,0.0
27,2,2,74.5,44.0,0.0
27,3,2,74.5,44.0,0.0
28,1,150,69.5,53.5,0.0
28,2,149,69.5,53.5,0.0
28,3,148,69.5,53.5,0.0
29,1,240,75.5,58.5,0.0
29,2,239,75.5,58.5,0.0
29,3,237,75.5,58.5,0.0
30,1,13,69.5,46.0,0.0
30,2,14,69.5,46.0,0.0
30,3,15,69.5,46.0,0.0
31,1,224,74.5,57.5,0.0
31,2,223,74.5,57.5,0.0
31,3,222,74.5,57.5,0.0
32,1,168,68.5,54.5,0.0
32,2,167,68.5,54.5,0.0
32,3,166,68.5,54.5,0.0
33,1,1,73.5,44.0,0.0
33,2,1,73.5,44.0,0.0
33,3,1,73.5,44.0,0.0
34,1,64,77.5,48.5,0.0
34,2,64,77.5,48.5,0.0
34,3,64,77.5,48.5,0.0
35,1,105,81.5,50.5,0.0
35,2,104,81.5,50.5,0.0
35,3,103,81.5,50.5,0.0
36,1,100,76.5,50.5,0.0
36,2,99,76.5,50.5,0.0
36,3,98,76.5,50.5,0.0
37,1,137,75.5,52.5,0.0
37,2,136,75.5,52.5,0.0
37,3,135,75.5,52.5,0.0
38,1,180,80.5,54.5,0.0
38,2,179,80.5,54.5,0.0
38,3,178,80.5,54.5,0.0
39,1,10,76.5,44.5,0.0
39,2,10,76.5,44.5,0.0
39,3,11,76.5,44.5,0.0
40,1,244,79.5,58.5,0.0
40,2,243,79.5,58.5,0.0
40,3,241,79.5,58.5,0.0
41,1,121,78.5,51.5,0.0
41,2,120,78.5,51.5,0.0
41,3,119,78.5,51.5,0.0
42,1,73,68.5,49.5,0.0
42,2,73,68.5,49.5,0.0
42,3,72,68.5,49.5,0.0
43,1,45,75.5,47.5,0.0
43,2,46,75.5,47.5,0.0
43,3,46,75.5,47.5,0.0
44,1,19,76.5,45.5,0.0
44,2,20,76.5,45.5,0.0
44,3,21,76.5,45.5,0.0
45,1,261,75.5,60.0,0.0
45,2,261,75.5,60.0,0.0
45,3,258,75.5,60.0,0.0
46,1,139,77.5,52.5,0.0
46,2,138,77.5,52.5,0.0
46,3,137,77.5,52.5,0.0
47,1,37,67.0,48.0,0.0
47,2,38,67.0,48.0,0.0
47,3,38,67.0,48.0,0.0
48,1,68,81.5,48.5,0.0
48,2,68,81.5,48.5,0.0
48,3,68,81.5,48.5,0.0
49,1,91,67.5,50.5,0.0
49,2,90,67.5,50.5,0.0
49,3,89,67.5,50.5,0.0
50,1,103,79.5,50.5,0.0
50,2,102,79.5,50.5,0.0
50,3,101,79.5,50.5,0.0
51,1,151,70.5,53.5,0.0
51,2,150,70.5,53.5,0.0
51,3,149,70.5,53.5,0.0
52,1,3,75.5,44.0,0.0
52,2,3,75.5,44.0,0.0
52,3,3,75.5,44.0,0.0
53,1,46,76.5,47.5,0.0
53,2,47,76.5,47.5,0.0
53,3,47,76.5,47.5,0.0
54,1,171,71.5,54.5,0.0
54,2,170,71.5,54.5,0.0
54,3,169,71.5,54.5,0.0
55,1,172,72.5,54.5,0.0
55,2,171,72.5,54.5,0.0
55,3,170,72.5,54.5,0.0
56,1,124,81.5,51.5,0.0
56,2,123,81.5,51.5,0.0
56,3,122,81.5,51.5,0.0
57,1,189,71.5,55.5,0.0
57,2,188,71.5,55.5,0.0
57,3,187,71.5,55.5,0.0
58,1,153,72.5,53.5,0.0
58,2,152,72.5,53.5,0.0
58,3,151,72.5,53.5,0.0
59,1,129,67.5,52.5,0.0
59,2,128,67.5,52.5,0.0
59,3,127,67.5,52.5,0.0
60,1,122,79.5,51.5,0.0
60,2,121,79.5,51.5,0.0
60,3,120,79.5,51.5,0.0
61,1,234,69.5,58.5,0.0
61,2,233,69.5,58.5,0.0
61,3,231,69.5,58.5,0.0
62,1,104,80.5,50.5,0.0
62,2,103,80.5,50.5,0.0
62,3,102,80.5,50.5,0.0
63,1,101,77.5,50.5,0.0
63,2,100,77.5,50.5,0.0
63,3,99,77.5,50.5,0.0
64,1,67,80.5,48.5,0.0
64,2,67,80.5,48.5,0.0
64,3,67,80.5,48.5,0.0
65,1,145,83.0,52.5,0.0
65,2,144,83.0,52.5,0.0
65,3,143,83.0,52.5,0.0
66,1,223,73.5,57.5,0.0
66,2,222,73.5,57.5,0.0
66,3,221,73.5,57.5,0.0
67,1,30,74.5,46.5,0.0
67,2,31,74.5,46.5,0.0
67,3,31,74.5,46.5,0.0
68,1,210,75.5,56.5,0.0
68,2,208,75.5,56.5,0.0
68,3,207,75.5,56.5,0.0
69,1,106,82.5,50.5,0.0
69,2,105,82.5,50.5,0.0
69,3,104,82.5,50.5,0.0
70,1,140,78.5,52.5,0.0
70,2,139,78.5,52.5,0.0
70,3,138,78.5,52.5,0.0
71,1,81,76.5,49.5,0.0
71,2,81,76.5,49.5,0.0
71,3,80,76.5,49.5,0.0
72,1,187,69.5,55.5,0.0
72,2,186,69.5,55.5,0.0
72,3,185,69.5,55.5,0.0
73,1,133,71.5,52.5,0.0
73,2,132,71.5,52.5,0.0
73,3,131,71.5,52.5,0.0
74,1,162,81.5,53.5,0.0
74,2,161,81.5,53.5,0.0
74,3,160,81.5,53.5,0.0
75,1,179,79.5,54.5,0.0
75,2,178,79.5,54.5,0.0
75,3,177,79.5,54.5,0.0
76,1,213,78.5,56.5,0.0
76,2,211,78.5,56.5,0.0
76,3,210,78.5,56.5,0.0
77,1,263,77.0,60.0,0.0
77,2,263,77.0,60.0,0.0
77,3,260,77.0,60.0,0.0
78,1,35,79.5,46.5,0.0
78,2,36,79.5,46.5,0.0
78,3,36,79.5,46.5,0.0
79,1,166,66.5,54.5,0.0
79,2,165,66.5,54.5,0.0
79,3,164,66.5,54.5,0.0
80,1,197,79.5,55.5,0.0
80,2,196,79.5,55.5,0.0
80,3,195,79.5,55.5,0.0
81,1,155,74.5,53.5,0.0
81,2,154,74.5,53.5,0.0
81,3,153,74.5,53.5,0.0
82,1,96,72.5,50.5,0.0
82,2,95,72.5,50.5,0.0
82,3,94,72.5,50.5,0.0
83,1,58,71.5,48.5,0.0
83,2,58,71.5,48.5,0.0
83,3,58,71.5,48.5,0.0
84,1,238,73.5,58.5,0.0
84,2,237,73.5,58.5,0.0
84,3,235,73.5,58.5,0.0
85,1,242,77.5,58.5,0.0
85,2,241,77.5,58.5,0.0
85,3,239,77.5,58.5,0.0
86,1,177,77.5,54.5,0.0
86,2,176,77.5,54.5,0.0
86,3,175,77.5,54.5,0.0
87,1,33,77.5,46.5,0.0
87,2,34,77.5,46.5,0.0
87,3,34,77.5,46.5,0.0
88,1,116,73.5,51.5,0.0
88,2,115,73.5,51.5,0.0
88,3,114,73.5,51.5,0.0
89,1,204,69.5,56.5,0.0
89,2,202,69.5,56.5,0.0
89,3,201,69.5,56.5,0.0
90,1,182,82.5,54.5,0.0
90,2,181,82.5,54.5,0.0
90,3,180,82.5,54.5,0.0
91,1,173,73.5,54.5,0.0
91,2,172,73.5,54.5,0.0
91,3,171,73.5,54.5,0.0
92,1,26,70.5,46.5,0.0
92,2,27,70.5,46.5,0.0
92,3,27,70.5,46.5,0.0
93,1,15,72.5,45.5,0.0
93,2,16,72.5,45.5,0.0
93,3,17,72.5,45.5,0.0
94,1,38,68.5,47.5,0.0
94,2,39,68.5,47.5,0.0
94,3,39,68.5,47.5,0.0
95,1,83,78.5,49.5,0.0
95,2,83,78.5,49.5,0.0
95,3,82,78.5,49.5,0.0
96,1,74,69.5,49.5,0.0
96,2,74,69.5,49.5,0.0
96,3,73,69.5,49.5,0.0
97,1,89,66.0,50.5,0.0
97,2,88,66.0,50.5,0.0
97,3,87,66.0,50.5,0.0
98,1,8,74.5,44.5,0.0
98,2,8,74.5,44.5,0.0
98,3,9,74.5,44.5,0.0
99,1,195,77.5,55.5,0.0
99,2,194,77.5,55.5,0.0
99,3,193,77.5,55.5,0.0
100,1,191,73.5,55.5,0.0
100,2,190,73.5,55.5,0.0
100,3,189,73.5,55.5,0.0
101,1,218,68.5,57.5,0.0
101,2,217,68.5,57.5,0.0
101,3,216,68.5,57.5,0.0
